,Title,Genre,Director,Actors,Plot,id,release year
1528,Sicario,"Action,Crime,Thriller",Denis Villeneuve,"Emily Blunt,Benicio del Toro,Josh Brolin,Victor Garber",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,273481,2015-09-17
1529,Child 44,"Crime,Thriller",Daniel Espinosa,"Tom Hardy,Gary Oldman,Noomi Rapace,Fares Fares","Set in Stalin-era Soviet Union, a disgraced MGB agent is dispatched to investigate a series of child murders -- a case that begins to connect with the very top of party leadership.",181283,2015-03-15
1530,Entourage,Comedy,Doug Ellin,"Jeremy Piven,Adrian Grenier,Jerry Ferrara,Kevin Connolly","Movie star Vincent Chase, together with his boys, Eric, Turtle and Johnny, are back…and back in business with super agent-turned-studio head Ari Gold. Some of their ambitions have changed, but the bond between them remains strong as they navigate the capricious and often cutthroat world of Hollywood.",188222,2015-06-03
1531,The Wedding Ringer,Comedy,Jeremy Garelick,"Kevin Hart,Josh Gad,Kaley Cuoco,Affion Crockett","Doug Harris is a loveable but socially awkward groom-to-be with a problem: he has no best man.  With less than two weeks to go until he marries the girl of his dreams, Doug is referred to Jimmy Callahan, owner and CEO of Best Man, Inc., a company that provides flattering best men for socially challenged guys in need.  What ensues is a hilarious wedding charade as they try to pull off the big con, and an unexpected budding bromance between Doug and his fake best man Jimmy.",252838,2015-01-16
1532,Hotel Transylvania 2,"Animation,Comedy,Family,Fantasy",Genndy Tartakovsky,"Adam Sandler,Andy Samberg,Selena Gomez,Kevin James","When the old-old-old-fashioned vampire Vlad arrives at the hotel for an impromptu family get-together, Hotel Transylvania is in for a collision of supernatural old-school and modern day cool.",159824,2015-09-21
1533,The Big Short,"Comedy,Drama",Adam McKay,"Christian Bale,Steve Carell,Ryan Gosling,Brad Pitt",The men who made millions from a global economic meltdown.,318846,2015-12-11
1534,The Revenant,"Western,Drama,Adventure",Alejandro González Iñárritu,"Leonardo DiCaprio,Tom Hardy,Will Poulter,Domhnall Gleeson","In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",281957,2015-12-25
1535,The Good Dinosaur,"Adventure,Animation,Family",Peter Sohn,"Raymond Ochoa,Jack Bright,Jeffrey Wright,Frances McDormand",An epic journey into the world of dinosaurs where an Apatosaurus named Arlo makes an unlikely human friend.,105864,2015-11-14
1536,Carol,"Romance,Drama",Todd Haynes,"Rooney Mara,Cate Blanchett,Kyle Chandler,Sarah Paulson","In 1950s New York, a department-store clerk who dreams of a better life falls for an older, married woman.",258480,2015-11-20
1537,Survivor,"Action,Crime,Thriller",James McTeigue,"Pierce Brosnan,Milla Jovovich,Dylan McDermott,Angela Bassett","A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.",334074,2015-05-21
1538,The Transporter Refueled,"Thriller,Action,Crime,Mystery",Camille Delamarre,"Ed Skrein,Ray Stevenson,Loan Chabanol,Gabriella Wright","The fast-paced action movie is again set in the criminal underworld in France, where Frank Martin is known as The Transporter, because he is the best driver and mercenary money can buy. In this installment, he meets Anna and they attempt to take down a group of ruthless Russian human traffickers who also have kidnapped Frank’s father.",287948,2015-09-03
1539,Room,"Drama,Thriller",Lenny Abrahamson,"Brie Larson,Jacob Tremblay,Joan Allen,William H. Macy",Jack is a young boy of 5 years old who has lived all his life in one room. He believes everything within it are the only real things in the world. But what will happen when his Ma suddenly tells him that there are other things outside of Room?,264644,2015-10-16
1540,The Hunger Games: Mockingjay - Part 2,"Action,Adventure,Science Fiction",Francis Lawrence,"Jennifer Lawrence,Josh Hutcherson,Liam Hemsworth,Woody Harrelson","With the nation of Panem in a full scale war, Katniss confronts President Snow in the final showdown. Teamed with a group of her closest friends – including Gale, Finnick, and Peeta – Katniss goes off on a mission with the unit from District 13 as they risk their lives to stage an assassination attempt on President Snow who has become increasingly obsessed with destroying her. The mortal traps, enemies, and moral choices that await Katniss will challenge her more than any arena she faced in The Hunger Games.",131634,2015-11-18
1541,A Delicious Flight,Romance,Choi Sang-hoon-I,"Son Deok-Gi,Jeong Yoo-jin,Shin Yu-ju,Jeon Hyeon-soo","The in- flight service for Hong Kong starts now!  An erotic story that took place in the spacious blue sky!  An innocent actress runs away from the scandal with an idol, the impudent idol that ruined her career, a passionate manager who is devoted to her and his ex-girlfriend who is now a sexy stewardess. These four that should never be together run into each other in an airplane. No one can run away and the most cheeky and erotic things happen here.",390845,2015-11-01
1542,Everest,"Adventure,Drama",Baltasar Kormákur,"Jason Clarke,Jake Gyllenhaal,Josh Brolin,John Hawkes","Inspired by the incredible events surrounding a treacherous attempt to reach the summit of the world's highest mountain, ""Everest"" documents the awe-inspiring journey of two different expeditions challenged beyond their limits by one of the fiercest snowstorms ever encountered by mankind. Their mettle tested by the harshest of elements found on the planet, the climbers will face nearly impossible obstacles as a lifelong obsession becomes a breathtaking struggle for survival.",253412,2015-09-10
1543,Vacation,Comedy,Jonathan M. Goldstein,"Ed Helms,Christina Applegate,Skyler Gisondo,Steele Stebbins","Hoping to bring his family closer together and to recreate his childhood vacation for his own kids, a grown up Rusty Griswold takes his wife and their two sons on a cross-country road trip to the coolest theme park in America, Walley World. Needless to say, things don't go quite as planned.",296099,2015-07-28
1544,The Last Witch Hunter,"Fantasy,Action,Adventure,Science Fiction",Breck Eisner,"Vin Diesel,Rose Leslie,Elijah Wood,Ólafur Darri Ólafsson","The modern world holds many secrets, but by far the most astounding is that witches still live among us; vicious supernatural creatures intent on unleashing the Black Death upon the world and putting an end to the human race once and for all. Armies of witch hunters have battled this unnatural enemy for centuries, including Kaulder, a valiant warrior who many years ago slayed the all-powerful Witch Queen, decimating her followers in the process. In the moments right before her death, the Queen cursed Kaulder with immortality, forever separating him from his beloved wife and daughter. Today, Kaulder is the last living hunter who has spent his immortal life tracking down rogue witches, all the while yearning for his long-lost family.",274854,2015-10-21
1545,Ip Man 3,"Action,Drama,History",Wilson Yip,"Donnie Yen,Lynn Hung,Zhang Jin,Patrick Tam","When a band of brutal gangsters led by a crooked property developer make a play to take over the city, Master Ip is forced to take a stand.",365222,2015-12-19
1546,Focus,"Romance,Comedy,Crime,Drama",John Requa,"Will Smith,Margot Robbie,Rodrigo Santoro,Robert Taylor","Nicky, a veteran con artist, takes a novice named Jess under his wing. While Nicky teaches Jess the tricks of the trade, the pair become romantically involved; but, when Jess gets uncomfortably close, Nicky ends their relationship. Three years later, Nicky is in Buenos Aires working a very dangerous scheme when Jess -- now an accomplished femme fatale -- unexpectedly shows up. Her appearance throws Nicky for a loop at a time when he cannot afford to be off his game.",256591,2015-02-25
1547,The Age of Adaline,"Fantasy,Drama,Romance",Lee Toland Krieger,"Blake Lively,Michiel Huisman,Harrison Ford,Ellen Burstyn","After 29-year-old Adaline recovers from a nearly lethal accident, she inexplicably stops growing older. As the years stretch on and on, Adaline keeps her secret to herself  until she meets a man who changes her life.",293863,2015-04-16
1548,Maggie,"Horror,Drama,Mystery",Henry Hobson,"Arnold Schwarzenegger,Abigail Breslin,Joely Richardson,Douglas M. Griffin","There's a deadly zombie epidemic threatening humanity, but Wade, a small-town farmer and family man, refuses to accept defeat even when his daughter Maggie becomes infected. As Maggie's condition worsens and the authorities seek to eradicate those with the virus, Wade is pushed to the limits in an effort to protect her. Joely Richardson co-stars in this post-apocalyptic thriller.",287424,2015-05-08
1549,Minions,"Family,Animation,Adventure,Comedy",Pierre Coffin,"Sandra Bullock,Jon Hamm,Michael Keaton,Allison Janney","Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",211672,2015-06-17
1550,Shaun the Sheep Movie,"Family,Animation,Comedy,Adventure",Richard Starzak,"Justin Fletcher,Omid Djalili,Richard Webber,Kate Harbour","When Shaun decides to take the day off and have some fun, he gets a little more action than he bargained for. A mix up with the Farmer, a caravan and a very steep hill lead them all to the Big City and it's up to Shaun and the flock to return everyone safely to the green grass of home.",263109,2015-02-05
1551,Joy,"Drama,Comedy",David O. Russell,"Jennifer Lawrence,Bradley Cooper,Robert De Niro,Dascha Polanco",A story based on the life of a struggling Long Island single mom who became one of the country's most successful entrepreneurs.,274479,2015-12-24
1552,The Man from U.N.C.L.E.,"Comedy,Action,Adventure",Guy Ritchie,"Henry Cavill,Armie Hammer,Alicia Vikander,Elizabeth Debicki","At the height of the Cold War, a mysterious criminal organization plans to use nuclear weapons and technology to upset the fragile balance of power between the United States and Soviet Union. CIA agent Napoleon Solo and KGB agent Illya Kuryakin are forced to put aside their hostilities and work together to stop the evildoers in their tracks. The duo's only lead is the daughter of a missing German scientist, whom they must find soon to prevent a global catastrophe.",203801,2015-08-13
1553,The Lobster,"Thriller,Comedy,Drama,Romance,Science Fiction",Yorgos Lanthimos,"Colin Farrell,Rachel Weisz,Léa Seydoux,Ben Whishaw","In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",254320,2015-07-10
1554,Captain America: Civil War,"Adventure,Action,Science Fiction",Joe Russo,"Chris Evans,Robert Downey Jr.,Scarlett Johansson,Sebastian Stan","Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",271110,2016-04-27
1555,Doctor Strange,"Action,Adventure,Fantasy,Science Fiction",Scott Derrickson,"Benedict Cumberbatch,Chiwetel Ejiofor,Rachel McAdams,Benedict Wong","After his career is destroyed, a brilliant but arrogant surgeon gets a new lease on life when a sorcerer takes him under her wing and trains him to defend the world against evil.",284052,2016-10-25
1556,Batman v Superman: Dawn of Justice,"Action,Adventure,Fantasy",Zack Snyder,"Ben Affleck,Henry Cavill,Gal Gadot,Amy Adams","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",209112,2016-03-23
1557,Deadpool,"Action,Adventure,Comedy",Tim Miller,"Ryan Reynolds,Morena Baccarin,Ed Skrein,T.J. Miller","Deadpool tells the origin story of former Special Forces operative turned mercenary Wade Wilson, who after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",293660,2016-02-09
1558,Fantastic Beasts and Where to Find Them,"Adventure,Family,Fantasy",David Yates,"Eddie Redmayne,Colin Farrell,Katherine Waterston,Dan Fogler","In 1926, Newt Scamander arrives at the Magical Congress of the United States of America with a magically expanded briefcase, which houses a number of dangerous creatures and their habitats. When the creatures escape from the briefcase, it sends the American wizarding authorities after Newt, and threatens to strain even further the state of magical and non-magical relations.",259316,2016-11-16
1559,Zootopia,"Animation,Adventure,Family,Comedy",Rich Moore,"Ginnifer Goodwin,Jason Bateman,Shakira,Idris Elba","Determined to prove herself, Officer Judy Hopps, the first bunny on Zootopia's police force, jumps at the chance to crack her first case - even if it means partnering with scam-artist fox Nick Wilde to solve the mystery.",269149,2016-02-11
1560,X-Men: Apocalypse,"Action,Adventure,Science Fiction,Fantasy",Bryan Singer,"James McAvoy,Michael Fassbender,Jennifer Lawrence,Nicholas Hoult","After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",246655,2016-05-18
1561,Now You See Me 2,"Action,Comedy,Thriller",Jon M. Chu,"Jesse Eisenberg,Mark Ruffalo,Woody Harrelson,Dave Franco","One year after outwitting the FBI and winning the public’s adulation with their mind-bending spectacles, the Four Horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet.",291805,2016-06-02
1562,La La Land,"Comedy,Drama,Romance",Damien Chazelle,"Ryan Gosling,Emma Stone,John Legend,Rosemarie DeWitt","Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",313369,2016-11-29
1563,Hidden Figures,"Drama,History",Theodore Melfi,"Taraji P. Henson,Octavia Spencer,Janelle Monáe,Kevin Costner","The untold story of Katherine G. Johnson, Dorothy Vaughan and Mary Jackson – brilliant African-American women working at NASA and serving as the brains behind one of the greatest operations in history – the launch of astronaut John Glenn into orbit. The visionary trio crossed all gender and race lines to inspire generations to dream big.",381284,2016-12-10
1564,Sing,"Animation,Comedy,Drama,Family,Music",Garth Jennings,"Matthew McConaughey,Reese Witherspoon,Seth MacFarlane,Scarlett Johansson",A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,335797,2016-11-23
1565,The Invisible Guest,"Mystery,Crime,Thriller",Oriol Paulo,"Mario Casas,José Coronado,Bárbara Lennie,Ana Wagener","""The Invisible Guest” turns on a young businessman who wakes up in a hotel room locked from the inside with the dead body of his lover next to him. He hires a prestigious lawyer, and over one night they work together to clarify what happened in a frenetic race against time.",411088,2016-09-22
1566,The Purge: Election Year,"Action,Horror,Thriller",James DeMonaco,"Elizabeth Mitchell,Frank Grillo,Mykelti Williamson,Edwin Hodge","Two years after choosing not to kill the man who killed his son, former police sergeant Leo Barnes has become head of security for Senator Charlene Roan, the front runner in the next Presidential election due to her vow to eliminate the Purge. On the night of what should be the final Purge, a betrayal from within the government forces Barnes and Roan out onto the street where they must fight to survive the night.",316727,2016-06-29
1567,Miss Peregrine's Home for Peculiar Children,"Drama,Fantasy,Adventure,Family",Tim Burton,"Eva Green,Asa Butterfield,Samuel L. Jackson,Judi Dench",A teenager finds himself transported to an island where he must help protect a group of orphans with special powers from creatures intent on destroying them.,283366,2016-09-28
1568,Arrival,"Drama,Science Fiction,Mystery",Denis Villeneuve,"Amy Adams,Jeremy Renner,Forest Whitaker,Michael Stuhlbarg","Taking place after alien crafts land around the world, an expert linguist is recruited by the military to determine whether they come in peace or are a threat.",329865,2016-11-10
1569,The Jungle Book,"Adventure,Drama,Family,Fantasy",Jon Favreau,"Neel Sethi,Bill Murray,Ben Kingsley,Idris Elba","A man-cub named Mowgli fostered by wolves. After a threat from the tiger Shere Khan, Mowgli is forced to flee the jungle, by which he embarks on a journey of self discovery with the help of the panther, Bagheera and the free-spirited bear, Baloo.",278927,2016-04-07
1570,Your Name.,"Romance,Animation,Drama",Makoto Shinkai,"Ryunosuke Kamiki,Mone Kamishiraishi,Masami Nagasawa,Etsuko Ichihara","High schoolers Mitsuha and Taki are complete strangers living separate lives. But one night, they suddenly switch places. Mitsuha wakes up in Taki’s body, and he in hers. This bizarre occurrence continues to happen randomly, and the two must adjust their lives around each other.",372058,2016-08-26
1571,Kubo and the Two Strings,"Animation,Adventure,Family",Travis Knight,"Art Parkinson,Charlize Theron,Rooney Mara,Matthew McConaughey","Kubo mesmerizes the people in his village with his magical gift for spinning wild tales with origami. When he accidentally summons an evil spirit seeking vengeance, Kubo is forced to go on a quest to solve the mystery of his fallen samurai father and his mystical weaponry, as well as discover his own magical powers.",313297,2016-08-18
1572,Sully,"Drama,History",Clint Eastwood,"Tom Hanks,Aaron Eckhart,Laura Linney,Anna Gunn","On 15 January 2009, the world witnessed the 'Miracle on the Hudson' when Captain 'Sully' Sullenberger glided his disabled plane onto the frigid waters of the Hudson River, saving the lives of all 155 aboard. However, even as Sully was being heralded by the public and the media for his unprecedented feat of aviation skill, an investigation was unfolding that threatened to destroy his reputation and career.",363676,2016-09-07
1573,Allegiant,"Adventure,Science Fiction,Action,Mystery",Robert Schwentke,"Shailene Woodley,Theo James,Zoë Kravitz,Miles Teller",Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare.,262504,2016-03-09
1574,The Huntsman: Winter's War,"Action,Adventure,Drama",Cedric Nicolas-Troyan,"Chris Hemsworth,Charlize Theron,Emily Blunt,Jessica Chastain","As two evil sisters prepare to conquer the land, two renegades—Eric the Huntsman, who aided Snow White in defeating Ravenna in Snowwhite and the Huntsman, and his forbidden lover, Sara—set out to stop them.",290595,2016-04-06
1575,The Legend of Tarzan,"Action,Adventure",David Yates,"Alexander Skarsgård,Margot Robbie,Christoph Waltz,Samuel L. Jackson","Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",258489,2016-06-29
1576,Lion,Drama,Garth Davis,"Sunny Pawar,Dev Patel,Rooney Mara,David Wenham","A five-year-old Indian boy gets lost on the streets of Calcutta, thousands of kilometers from home. He survives many challenges before being adopted by a couple in Australia; 25 years later, he sets out to find his lost family.",334543,2016-11-24
1577,The Man Who Knew Infinity,Drama,Matt Brown,"Dev Patel,Jeremy Irons,Toby Jones,Stephen Fry","Growing up poor in Madras, India, Srinivasa Ramanujan Iyengar earns admittance to Cambridge University during WWI, where he becomes a pioneer in mathematical theories with the guidance of his professor, G.H. Hardy.",353326,2016-04-08
1578,Teenage Mutant Ninja Turtles: Out of the Shadows,"Action,Adventure,Comedy,Family,Science Fiction",Dave Green,"Megan Fox,Stephen Amell,Will Arnett,Laura Linney","After supervillain Shredder escapes custody, he joins forces with mad scientist Baxter Stockman and two dimwitted henchmen, Bebop and Rocksteady, to unleash a diabolical plan to take over the world. As the Turtles prepare to take on Shredder and his new crew, they find themselves facing an even greater evil with similar intentions: the notorious Krang.",308531,2016-06-01
1579,Allied,"Action,Drama,War,Romance,Thriller",Robert Zemeckis,"Brad Pitt,Marion Cotillard,Jared Harris,Simon McBurney","In 1942, an intelligence officer in North Africa encounters a female French Resistance fighter on a deadly mission behind enemy lines. When they reunite in London, their relationship is tested by the pressures of war.",369885,2016-11-17
1580,Star Trek Beyond,"Action,Adventure,Science Fiction",Justin Lin,"Chris Pine,Zachary Quinto,Karl Urban,Zoe Saldana","The USS Enterprise crew explores the furthest reaches of uncharted space, where they encounter a mysterious new enemy who puts them and everything the Federation stands for to the test.",188927,2016-07-07
1581,Suicide Squad,"Action,Adventure,Crime,Fantasy,Science Fiction",David Ayer,"Will Smith,Margot Robbie,Joel Kinnaman,Viola Davis","From DC Comics comes the Suicide Squad, an antihero team of incarcerated supervillains who act as deniable assets for the United States government, undertaking high-risk black ops missions in exchange for commuted prison sentences.",297761,2016-08-03
1582,Kung Fu Panda 3,"Action,Adventure,Animation,Comedy,Family",Alessandro Carloni,"Jack Black,Bryan Cranston,Dustin Hoffman,Angelina Jolie","Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home.",140300,2016-01-23
1583,13 Hours: The Secret Soldiers of Benghazi,"Action,Drama,History,Thriller,War",Michael Bay,"James Badge Dale,John Krasinski,Max Martini,Pablo Schreiber",An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,300671,2016-01-13
1584,Finding Dory,"Adventure,Animation,Comedy,Family",Andrew Stanton,"Ellen DeGeneres,Albert Brooks,Hayden Rolence,Ed O'Neill",Dory is reunited with her friends Nemo and Marlin in the search for answers about her past. What can she remember? Who are her parents? And where did she learn to speak Whale?,127380,2016-06-16
1585,Hacksaw Ridge,"Drama,History,War",Mel Gibson,"Andrew Garfield,Sam Worthington,Vince Vaughn,Luke Bracey","WWII American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first Conscientious Objector in American history to receive the Congressional Medal of Honor.",324786,2016-10-07
1586,Rogue One: A Star Wars Story,"Action,Adventure,Science Fiction",Gareth Edwards,"Felicity Jones,Diego Luna,Alan Tudyk,Donnie Yen",A rogue band of resistance fighters unite for a mission to steal the Death Star plans and bring a new hope to the galaxy.,330459,2016-12-14
1587,Sister's Younger Husband,"Comedy,Drama,Romance",Park Eun-ho,"Park Joo-bin,Joo Ye-bin,Wi Ji-Woong,Choi Chae-il","A sexy brother-in-law approached her? And he’s a younger man?  Mi-yeon, who was adopted into her family when she was little, is living with her older sister, Si-yeon and Si-yeon’s husband. Mi-yeon’s desire towards her brother-in-law grows more and more every night when she gets to watch the affectionate interaction between her older sister and the brother-in-law. One day, Mi-yeon seduces her brother-in-law and the two end up crossing the line when they should not have. As the situation goes on, Mi-yeon finds out her older sister is also having affairs outside the marriage. Mi-yeon tries to clear up the relationship with her brother-in-law out of guilty feeling. However, she hears something shocking from the brother-in-law.",418827,2016-10-11
1588,Independence Day: Resurgence,"Action,Adventure,Science Fiction",Roland Emmerich,"Liam Hemsworth,Jeff Goldblum,Bill Pullman,Maika Monroe","We always knew they were coming back. Using recovered alien technology, the nations of Earth have collaborated on an immense defense program to protect the planet. But nothing can prepare us for the aliens’ advanced and unprecedented force. Only the ingenuity of a few brave men and women can bring our world back from the brink of extinction.",47933,2016-06-22
1589,The Conjuring 2,"Horror,Mystery,Thriller",James Wan,"Patrick Wilson,Vera Farmiga,Madison Wolfe,Frances O'Connor",Lorraine and Ed Warren travel to north London to help a single mother raising four children alone in a house plagued by malicious spirits.,259693,2016-05-13
1590,Me Before You,"Drama,Romance",Thea Sharrock,"Emilia Clarke,Sam Claflin,Janet McTeer,Charles Dance","A small town girl is caught between dead-end jobs. A high-profile, successful man becomes wheelchair bound following an accident. The man decides his life is not worth living until the girl is hired for six months to be his new caretaker. Worlds apart and trapped together by circumstance, the two get off to a rocky start. But the girl becomes determined to prove to the man that life is worth living and as they embark on a series of adventures together, each finds their world changing in ways neither of them could begin to imagine.",296096,2016-06-02
1591,Ghostbusters,"Action,Fantasy,Comedy",Paul Feig,"Melissa McCarthy,Kristen Wiig,Kate McKinnon,Leslie Jones","Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.",43074,2016-07-14
1592,Moonlight,Drama,Barry Jenkins,"Trevante Rhodes,André Holland,Janelle Monáe,Ashton Sanders","The tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.",376867,2016-10-21
1593,Patriots Day,"Action,Drama,Thriller,Crime,History",Peter Berg,"Mark Wahlberg,John Goodman,J.K. Simmons,Kevin Bacon","In the aftermath of an unspeakable act of terror, Police Sergeant Tommy Saunders joins courageous survivors, first responders and investigators in a race against the clock to hunt down the Boston Marathon bombers before they strike again.",388399,2016-12-12
1594,The Magnificent Seven,"Adventure,Action,Western",Antoine Fuqua,"Denzel Washington,Chris Pratt,Ethan Hawke,Vincent D'Onofrio","Looking to mine for gold, greedy industrialist Bartholomew Bogue seizes control of the Old West town of Rose Creek. With their lives in jeopardy, Emma Cullen and other desperate residents turn to bounty hunter Sam Chisolm for help. Chisolm recruits an eclectic group of gunslingers to take on Bogue and his ruthless henchmen. With a deadly showdown on the horizon, the seven mercenaries soon find themselves fighting for more than just money once the bullets start to fly.",333484,2016-09-14
1595,Underworld: Blood Wars,"Action,Fantasy,Horror,Drama",Anna Foerster,"Kate Beckinsale,Theo James,Tobias Menzies,Lara Pulver","Vampire death dealer Selene fends off brutal attacks from both the Lycan clan and the Vampire faction that betrayed her. With her only allies, David and his father Thomas, she must stop the eternal war between Lycans and Vampires, even if it means she has to make the ultimate sacrifice.",346672,2016-11-24
1596,Zoolander 2,Comedy,Ben Stiller,"Ben Stiller,Owen Wilson,Will Ferrell,Penélope Cruz",Derek and Hansel are modelling again when an opposing company attempts to take them out from the business.,329833,2016-02-06
1597,Warcraft,"Action,Adventure,Fantasy",Duncan Jones,"Paula Patton,Travis Fimmel,Ben Foster,Robert Kazinsky","The peaceful realm of Azeroth stands on the brink of war as its civilization faces a fearsome race of invaders: orc warriors fleeing their dying home to colonize another. As a portal opens to connect the two worlds, one army faces destruction and the other faces extinction. From opposing sides, two heroes are set on a collision course that will decide the fate of their family, their people, and their home.",68735,2016-05-25
1598,The 5th Wave,"Adventure,Science Fiction",J Blakeson,"Chloë Grace Moretz,Nick Robinson,Alex Roe,Maika Monroe",16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,299687,2016-01-14
1599,Better Watch Out,"Horror,Thriller",Chris Peckover,"Olivia DeJonge,Levi Miller,Ed Oxenbould,Aleks Mikic","On a quiet suburban street tucked within a 'safe neighborhood', a babysitter must defend a twelve-year-old boy from strangers breaking into the house, only to discover that this is far from a normal home invasion.",406994,2016-09-22
1600,Silence,"Drama,History",Martin Scorsese,"Andrew Garfield,Adam Driver,Tadanobu Asano,Ciarán Hinds","Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",68730,2016-12-22
1601,Boyka: Undisputed IV,"Thriller,Action,Crime",Todor Chapkanov,"Scott Adkins,Teodora Duhovnikova,Alon Aboutboul,Julian Vergov","In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for. When he finds out the wife of the man he accidentally killed is in trouble, Boyka offers to fight in a series of impossible battles to free her from a life of servitude",348893,2016-08-01
1602,The Nice Guys,"Comedy,Crime,Mystery",Shane Black,"Russell Crowe,Ryan Gosling,Angourie Rice,Matt Bomer",A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,290250,2016-05-15
1603,Triple 9,"Action,Thriller,Mystery",John Hillcoat,"Casey Affleck,Chiwetel Ejiofor,Woody Harrelson,Kate Winslet",A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.,146198,2016-02-19
1604,Alice Through the Looking Glass,"Adventure,Family,Fantasy",James Bobin,"Mia Wasikowska,Johnny Depp,Anne Hathaway,Helena Bonham Carter","In the sequel to Tim Burton's ""Alice in Wonderland"", Alice Kingsleigh returns to Underland and faces a new adventure in saving the Mad Hatter.",241259,2016-05-25
1605,Sausage Party,"Adventure,Animation,Comedy,Fantasy",Greg Tiernan,"Seth Rogen,Kristen Wiig,Jonah Hill,Bill Hader","Sausage Party, the first R-rated CG animated movie, is about one sausage leading a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.",223702,2016-07-11
1606,10 Cloverfield Lane,"Thriller,Science Fiction,Drama",Dan Trachtenberg,"Mary Elizabeth Winstead,John Goodman,John Gallagher Jr.,Douglas M. Griffin","After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",333371,2016-03-10
1607,London Has Fallen,"Action,Thriller",Babak Najafi,"Gerard Butler,Aaron Eckhart,Morgan Freeman,Angela Bassett","In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders.",267860,2016-03-02
1608,Ice Age: Collision Course,"Adventure,Animation,Family,Comedy",Galen T. Chu,"Ray Romano,John Leguizamo,Denis Leary,Queen Latifah","Set after the events of Continental Drift, Scrat's epic pursuit of his elusive acorn catapults him outside of Earth, where he accidentally sets off a series of cosmic events that transform and threaten the planet. To save themselves from peril, Manny, Sid, Diego, and the rest of the herd leave their home and embark on a quest full of thrills and spills, highs and lows, laughter and adventure while traveling to exotic new lands and encountering a host of colorful new characters.",278154,2016-06-23
1609,Central Intelligence,"Action,Comedy,Mystery",Rawson Marshall Thurber,"Dwayne Johnson,Kevin Hart,Amy Ryan,Aaron Paul","After he reunites with an old pal through Facebook, a mild-mannered accountant is lured into the world of international espionage.",302699,2016-06-15
1610,Hunt for the Wilderpeople,"Adventure,Comedy,Drama",Taika Waititi,"Sam Neill,Julian Dennison,Rima Te Wiata,Rachel House","Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",371645,2016-03-31
